Company Names,Cars Name,Reliability Score
NISSAN,PATHFINDER,3.5
AUDI,A4,3.5
AUDI,Q3,None
KIA,SPORTAGE,4.0
KIA,SPORTAGE,4.0
KIA,SPORTAGE,4.0
KIA,SPORTAGE,4.0
KIA,SPORTAGE,4.0
KIA,SPORTAGE,4.0
KIA,SPORTAGE,4.0
KIA,SPORTAGE,4.0
KIA,SPORTAGE,4.0
KIA,SPORTAGE,4.0
HONDA,CR-V,4.5
HONDA,PILOT,3.5
TOYOTA,HIGHLANDER,4.0
TOYOTA,4RUNNER,4.0
TOYOTA,VENZA,4.0
HYUNDAI,Tucson,4.0
Volkswagen,Tiguan,3.0
Nissan,Murano,3.5
Nissan,Rogue,4.0
Nissan,Rogue,4.0
Nissan,Rogue,4.0
Jeep,Wrangler,3.5
Jeep,Cherokee,4.0
Jeep,Compass,4.0
Chevrolet,Traverse,3.0
Chevrolet,Equinox,3.5
Chevrolet,Traverse,3.0
Chevrolet,Blazer,None
Chevrolet,Equinox,3.5
GMC,Acadia,3.0
GMC,Terrain,3.5
GMC,Terrain,3.5
GMC,Terrain,3.5
GMC,Acadia,3.0
GMC,Terrain,3.5
Kia,Niro,None
Kia,Niro,None
Kia,Sorento,4.0
Kia,Niro,None
Kia,Niro,None
Kia,Niro,None
Ford,Flex,3.5
Ford,Escape,4.0
